id,old_state,milestone,old_owner,first_pass_class,built_branch,branch_tip,verdict,target_module_or_reason,t5_note,headline
D-710,integrated,M2,CONTENT-PDF,unclear,land/worker/D-710,f34c4c9f,carry,content,built on land/worker/D-710: judge at extraction; corrects D-686 with a mixed chain_kind value per BOB's ruling,"A WHOLE-DOCUMENT UNIT OF A MIXED DOCUMENT READS `ocr` (the chain's last step), which is the overstatement D-686 exists to remove. BOB #35 RULED 2026-09-25 09:35Z (drained to `BOB-INBOX-drained.md` by SCHEDULER #23; cite until folded): a new"
D-708,integrated,M10,RECORD,product,land/worker/D-708,656b0817,carry,publication,built on land/worker/D-708: judge at extraction; statementack listed sentence states no edition for an unchosen case,"op=statementack's `listed` SENTENCE STATES AN EDITION AND A LISTING FOR A CASE THE RECORD HAS NOT CHOSEN: for a draft naming C1 AND asking for a new case, `#caseIdentitySentence(ident.caseId, ident.edition)` is called WITHOUT newCase and sa"
D-706,integrated,M7,RECORD,product,land/worker/D-706,6dd3e530,carry,connections,known disclosure fix (brief); built on land/worker/D-706: judge at extraction,"op=linkproject DISCLOSES AND WRITES ACROSS THE VIEWER FENCE: it resolves any capture sha with NO viewer, so a member of no project received a hidden target's capture sha and the hidden project's id (`edges[].to`, `target_capture`, `source_b"
D-702,integrated,M4,CAPTURE,unclear,land/worker/D-702,71a5d050,carry,capture,"chrome-judge recurrence fix, navchanges; built on land/worker/D-702: judge at extraction","D-340 JUDGES A LINK AS SITE CHROME BY CONTAINMENT ONLY, so a page-local sidebar that varies reads as a LOST chrome link (same_page:false). BOB #35 RULED 2026-09-25 09:30Z (drained to `BOB-INBOX-drained.md` by SCHEDULER #23; cite until folde"
D-685,integrated,M4,RECORD,unclear,land/worker/D-685,3094f19b,carry,extraction,"truncated text-unit prefix carried, not dropped; built on land/worker/D-685: judge at extraction","THE ACQUIRE WIRE'S BUDGET LOOP DROPS A WHOLE UNIT whose text plus envelope exceeds the remaining budget (524,288 B), instead of carrying its per-unit-capped prefix (the store caps a unit at 128 KiB with truncated=1) — so a large sheet (M-20"
D-709,integrated,M9,RECORD,unclear,land/worker/D-709,97e2925c,carry,provenance,no-locator capture states fetch.route unrecorded; built on land/worker/D-709: judge at extraction,"A CAPTURE WITH NO RECORDED FETCH ROUTE IS SILENT: a document with no locator carries no `fetch` key, so a reader cannot tell ""the route was measured and is absent"" from ""nobody measured it"". BOB #35 RULED 2026-09-25 10:05Z (drained to `BOB-"
D-692,integrated,M7,RECORD,unclear,land/worker/D-692,332c594e,carry,promotion,revision restating created must not silently keep old value; built on land/worker/D-692: judge at extraction,"A REVISION WHOSE BYTES RESTATE `created` LANDS, and bundles.created keeps the creation's value (the ON CONFLICT arm never writes it), so the row and the head bytes disagree — measured: a creation dated 2026-07-24 revised to bytes saying 202"
D-712,integrated,M10,RECORD,both,land/worker/D-712,f10b1024,carry,publication,publishedcase must serve signed document field; built on land/worker/D-712: judge at extraction,"THE PUBLISHED CASE PAGE TELLS EVERY STRANGER A SIGNED, RATIFIED CASE IS UNSIGNED: pubCaseHtml's ""The case document · signed by …"" line reads `c.document`, which op=publishedcase NEVER serves (Store.publishedCase builds state.document throug"
M0-139,integrated,M0,M0,both,land/worker/M0-139,03935461,drop,old process: negative-control test-battery bookkeeping,current.control.mjs is old test battery machinery; NOT PRODUCT per brief,"TWO ARMS OF `current.control.mjs` CANNOT FAIL: arm 8 refuses to arm (its anchor occurs twice in `store.mjs` since REC-124 added `#findingsConcludedElsewhere` with `#findingsStanceDiverged`'s guard), and arm 7's must-fail name survives in `c"
D-725,integrated,M10,RECORD,unclear,land/worker/D-725,c90c4b10,carry,publication,"statementWriter must read the named draft only, not every draft; built on land/worker/D-725: judge at extraction","A SIGNED CASE DOCUMENT CAN NAME THE WRITER OF ANOTHER CASE'S DRAFT: `#statementWriter` reads EVERY no-case draft in the project, not the draft `draft=` named, so a same-bytes no-case draft prepared for another case answers for this one — it"
D-717,integrated,M7,RECORD,product,land/worker/D-717,94cdeb45,carry,promotion,"five action-catalogue refusals must run at op=promote, not audit only; built on land/worker/D-717: judge at extraction","FIVE ACTION-FAMILY CATALOGUE ARMS RUN ONLY IN THE AUDIT (checkBundle), so a member's op=promote SAVES what they forbid (measured by D-695's worker): an action_kind outside ACTION_KINDS; a risk_tier outside its vocabulary; a counterparty tha"
M0-171,integrated,M0,M0,machinery,land/worker/M0-171,4a13c257,drop,old process: table-census test instrument,versions.test.mjs harvest pattern is old test-battery machinery; NOT PRODUCT,"`versions.test.mjs` HARVESTS SCHEMA TABLES WITH A LOOSE PATTERN (`/CREATE TABLE IF NOT EXISTS (\w+)/g`, ~line 719), so it still counts the prose phantom `would` that M0-155 removed from the census. Found by M0-155's worker. — owner M0."
M0-172,integrated,M0,M0,machinery,land/worker/M0-172,2f64cd95,drop,old process: control-driver pen cleanup,status.control.mjs pen residue is old process tooling; NOT PRODUCT,"`status.control.mjs` LEAVES ITS PEN BEHIND (`.status-harness/`, 25 KB `pristine.status`), and `.gitignore`'s pen preamble mis-cites WORKER.md. BOB #33 RULED (17:12Z): a control driver's PEN is not a session's SCRATCH; in-worktree, gitignore"
D-721,integrated,M10,RECORD,product,land/worker/D-721,3ef19436,carry,publication,pair-draft sentence must not state an edition number; built on land/worker/D-721: judge at extraction,"#caseIdentitySentence's PAIR BRANCH STILL STATES ""the next edition (N) of C1 — but …"" for a draft naming C1 AND asking for a new case, in op=casedraft, casedrafts, reviewcopy and reviewgrant (boundTo), beside D-618's `edition: null`: the se"
D-720,integrated,M10,RECORD,product,land/worker/D-720,8e04cbe9,carry,publication,pair-draft ack must not key under the named case's edition; built on land/worker/D-720: judge at extraction,"A READING ACKNOWLEDGED ON A DRAFT THAT NAMES C1 AND ALSO SETS newCase IS KEYED UNDER C1's NEXT EDITION: #statementAcknowledgements lists every row at a case identity (draft match '*'), so C1's signed document can list a reading given on a d"
D-722,integrated,M7,RECORD,product,land/worker/D-722,46ed027d,carry,connections,"known disclosure fix, write half of D-706 (brief); built on land/worker/D-722: judge at extraction","op=linkproject's WRITE HALF: it resolves a second time WITHOUT the viewer, so an outsider's act writes an edge into a project they cannot see (measured by D-706's worker: a hidden-plus-visible address writes the HIDDEN edge, leaving op=link"
D-630,integrated,M0,M0,machinery,land/worker/D-630,c33a2194,drop,old process: anchor-drift negative control,suggest.control re-anchor is old test-battery machinery; NOT PRODUCT,"`suggest.control` arm 7: ANCHOR DRIFT — ` if (prior) {` matches 2 since D-536, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197)."
D-631,integrated,M0,M0,machinery,land/worker/D-631,3092ad35,drop,old process: anchor-drift negative control,adminvote.control re-anchor is old test-battery machinery; NOT PRODUCT,"`adminvote.control` arm stamp-dropped: ANCHOR DRIFT — matches 2 (REC-164), so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — o"
D-707,integrated,M7,RECORD,product,land/worker/D-707,95839afa,carry,promotion,"promote must refuse missing snapKey/path/bytes by name, not raw stack; built on land/worker/D-707: judge at extraction","op=promote STILL RETURNS A RAW NOT NULL STACK for a missing snapKey (manifest.snap_key), a file with no path (files.path) and a blob file with no bytes (files.bytes) — the three fields D-578/D-628 did not reach. Found by D-628's worker. — o"
D-718,integrated,M7,CHECKS,machinery,land/worker/D-718,689cd6d1,carry,promotion,BOB #37 override from legacy-checks: C-17.2 classifyDivergence sorts by snap key; built on land/worker/D-718: judge at extraction,"C-17.2's classifyDivergence (bio-checks.mjs) STILL SORTS _history/manifest.json BY SNAP KEY, so its anchor and intervening set can be the wrong ones when keys run against write order — the audit D-700 corrected for C-20.1, one check over. F"
D-719,integrated,M7,UI,unclear,land/worker/D-719,8ab99e48,carry,instance-setup,"setup.mjs #b-history list sorts by snap key, not write order (not UI: setup.mjs is instance-setup); built on land/worker/D-719: judge at extraction","THE BUNDLE VIEW'S HISTORY LIST (src/setup.mjs, #b-history) SORTS ENTRIES BY SNAP KEY, so a member reads a bundle's history in an order other than the one it was written in, since D-700 made write order the record's. Found by D-700's worker."
D-632,integrated,M0,M0,machinery,land/worker/D-632,1ca6abd4,drop,old process: anchor-drift negative control,aicredential.control re-anchor is old test-battery machinery; NOT PRODUCT,"`aicredential.control` arms 3 and 5: ANCHOR DRIFT — arm 3 matches 0; arm 5 matches 3, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M"
D-634,integrated,M0,M0,machinery,land/worker/D-634,8904b832,drop,old process: anchor-drift negative control,caseflip.control re-anchor is old test-battery machinery; NOT PRODUCT,"`caseflip.control` arms c, f: ANCHOR DRIFT — match 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver's"
D-723,integrated,M2,CONTENT,both,land/worker/D-723,fe2b9a6d,carry,text-chain,"chainKindFor must read shared page as mixed, not last-appended kind; built on land/worker/D-723: judge at extraction","A PAGE TWO PARTS SHARE (D-635: folio from the text layer, OCR transcription appended) READS `ocr` — the part appended last — though BOB #35's 09:35Z rule makes a unit covered by steps of different kinds `mixed`; the record calls the text-la"
D-636,integrated,M0,M0,machinery,land/worker/D-636,54490e02,drop,old process: anchor-drift negative control,d266scope.control re-anchor is old test-battery machinery; NOT PRODUCT,"`d266scope.control` arm 2: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver's "
D-637,integrated,M0,M0,machinery,land/worker/D-637,1c4a573e,drop,old process: anchor-drift negative control,d85-surface-run.control re-anchor is old test-battery machinery; NOT PRODUCT,"`d85-surface-run.control` arm no-lens-at-open: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — own"
D-638,integrated,M0,M0,machinery,land/worker/D-638,238517e1,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`dec65-strength-reach.control` arm a2: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (t"
D-639,integrated,M0,M0,machinery,land/worker/D-639,80a66f56,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`fence-e2e.control` arm (3): ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver'"
D-640,integrated,M0,M0,machinery,land/worker/D-640,fbf2e6a4,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`m025-anchor-witness.control` arm T1: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (th"
D-642,integrated,M0,M0,machinery,land/worker/D-642,d6a6e52f,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`nc-coff12` arm slidesbyposition: ANCHOR DRIFT — matches 0 — the same line as D-600 (integrated); re-anchor on the union, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-d"
D-643,integrated,M0,M0,machinery,land/worker/D-643,480c206b,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`nc-cpdf18` arm textpin: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver's su"
D-726,queued,M7,RECORD,product,land/worker/D-726,0e0a928e,carry,promotion,"Built on land/worker/D-726 (ungated, owes one gate); op=promote silently regroups a bundle across groups on revision.","A REVISION WHOSE BYTES RESTATE A DIFFERENT `group` LANDS, and bundles.group_id keeps the creation's (the ON CONFLICT arm never writes it), so the row and the head bytes disagree — measured through op=promote in a local Miniflare: row group_"
D-729,integrated,M2,UI,both,land/worker/D-729,72e123e2,drop,"UI-only link label fix; UI is placeholder, not carried","Integrated at land/worker/D-729, GATE green; UI stays placeholder per Bob's ruling 4, no plane op needed.","THE LINK SURFACE LABELS EVERY chrome=1 LINK ""site navigation"" (civicos-ui/app.html linkRow), but chrome=1 is CONTAINMENT only, so a page-local <aside> sidebar link is called site navigation — more than BOB #35's 09:30Z ruling (containment A"
D-644,integrated,M0,M0,machinery,land/worker/D-644,eb82f304,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`nc-fw17` arm nullhonest: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver's s"
D-732,integrated,M7,UI,product,land/worker/D-732,f64bad66,drop,UI-only history-order fix; no new plane op; UI not carried,"Integrated at land/worker/D-732, GATE green; reads D-700's existing seq, no new plane op; UI stays placeholder.","THE DOCUMENT PAGE (civicos-ui/app.html, stratum 4) LISTS A BUNDLE'S HISTORY BY SNAP KEY under ""Everything that has ever happened to this …"": parseLog sorts _history/promotion_*.json by path and ""Earlier revisions, kept"" sorts _history/bundl"
D-724,queued,M4,RECORD,product,land/worker/D-724,a944481e,carry,capture,"Built on land/worker/D-724 (ungated, owes one gate); partial capture index silently drops WHICH unit was skipped, not missing.","A PARTIAL CAPTURE INDEX SKIPS AN OVER-BOUND UNIT SILENTLY: both budget loops (index.mjs textUnitsFor, store.mjs #writeCaptureText) `continue` past it and write later units that fit, but only a COUNT is kept, so a search miss in sheet 4 cann"
D-728,integrated,M10,RECORD,product,land/worker/D-728,5ad02b3b,carry,publication,"Built on land/worker/D-728 (integrated, GATE 409/409 green); op=publish binds a pair draft the record's own rule refuses.","op=publish case=C1 draft=<a draft naming C1 AND setting newCase> PUBLISHES and binds that draft to C1's next edition (measured: ok:true, edition 2, completeness.draft = the pair draft), though D-618 ruled the pair UNDETERMINED and every pai"
D-645,integrated,M0,M0,machinery,land/worker/D-645,995f6b3f,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`nc-mk4` arms machinewide/noshare/sharewide, aiscope: ANCHOR DRIFT — three match 0; aiscope matches 3, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted"
D-646,integrated,M0,M0,machinery,land/worker/D-646,78d04f15,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`nc-rec113` arm blind: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver's subj"
D-647,integrated,M0,M0,machinery,land/worker/D-647,cdaa1b3b,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`nc-rec114` arms b, c, e: ANCHOR DRIFT — match 2 each, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver'"
D-648,integrated,M0,M0,machinery,land/worker/D-648,1bbab3f1,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`nc-rec118` arms b, d: ANCHOR DRIFT — match 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver's subjec"
D-649,integrated,M0,M0,machinery,land/worker/D-649,22974e39,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`nc-rec64` arm 1: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver's subject o"
D-650,integrated,M0,M0,machinery,land/worker/D-650,a57fa715,drop,"old test battery negative-control hygiene, not carried forward","Integrated fix to old battery's anchor-drift control; battery is NOT PRODUCT, retired at T7, not carried forward.","`nc-rec82` arms oob/nochain/overstrict: ANCHOR DRIFT — match 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (th"
D-651,queued,M0,M0,machinery,,,drop,"old test battery negative-control hygiene, not carried forward","Not yet built; old battery's negative-control hygiene, same class as D-638..D-650. Battery is NOT PRODUCT, not carried.","`nc-rec91` arm nowire: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver's subj"
D-652,queued,M0,M0,machinery,,,drop,"old test battery negative-control hygiene, not carried forward","Not yet built; old battery's negative-control hygiene, same class as D-638..D-650. Battery is NOT PRODUCT, not carried.","`nc-rec94` arms writer, cause: ANCHOR DRIFT — writer matches 0; cause matches 2, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197"
D-741,queued,M7,RECORD,product,,,carry,promotion,op=promote gives a false refusal cause (GOVERNING_LAWS_REWRITTEN) on unreadable revisions; BOB #36 ruled the fix; depends on D-726.,"op=promote ANSWERS GOVERNING_LAWS_REWRITTEN TO AN ACTION REVISION THAT SENT NOTHING READABLE (no files; no bundle.md; a blob-held bundle.md; no front-matter block): `lawsOf` returns the string ""unreadable"" as a VALUE and the laws fence comp"
D-738,queued,M7,RECORD,product,,,carry,promotion,"op=promote accepts a bundle whose document id: contradicts its bundleId; C-1.1 checked only in audit, not at the door.","op=promote ACCEPTS A CREATION OR REVISION WHOSE DOCUMENT'S `id:` DIFFERS FROM THE bundleId IT IS FILED UNDER — C-1.1 is judged only in the audit, not at the promote door. Live census 0/31 in bio (M-185). Found by D-726's worker. — owner REC"
D-671,queued,M2,CONTENT-PDF,product,,,carry,pdf-worker,"pdf-worker ignores inherited /Rotate from /Pages, so a rotated page renders un-turned and fails OCR (CPDF-12, 8.67% chars).","`pdf-worker/src/pagepixels.mjs` READS `/Rotate` FROM THE LEAF PAGE ONLY, though `/Rotate` is inheritable: a page inheriting `/Rotate 270` from `/Pages` renders un-turned — CPDF-12's 8.67%-character failure. Found by D-374's worker (minted o"
D-697,queued,M2,CONTENT-PDF,unclear,,,carry,extraction,Tier2/tier3 merge functions mishandle image_unread markers across three just-landed sibling rows; no suite drives the combination.,"D-665's per-image `image_unread` MARKER IS NOT HANDLED BY ITS TWO SIBLINGS' MERGES: D-633's carry in `mergeTier2Text` takes only image_content_*, so a page tier 2 wins drops a still-true `image_unread`; D-635's APPEND in `mergeTier3Text` do"
D-713,queued,M2,CONTENT-PDF,unclear,,,carry,extraction,D-635's append plus D-616's tail re-read may duplicate a page's folio text in the record; needs an idempotency fix.,"A PAGE D-635 APPENDED TO (folio kept + transcription) MAY BE SEEDED BY D-616's TAIL RE-READ AND GET ITS FOLIO APPENDED AGAIN, so the folio text appears twice in the record. No suite drives the combination. Found at batch30's union (CONDUCT "
D-696,queued,M10,UI,unclear,,,drop,UI rendering of existing plane data (D-689 landed); no new plane op needed,,"THE ACTION PAGE NEVER READS `action.law`: a member sees a records request's law only inside governing_laws' undetermined sentence, and that sentence goes away once a member states the list. Found by UI-119's worker (minted on land/worker/UI"
UI-122,blocked,M10,UI,product,,,drop,UI row blocked on DEC-33 old-process re-entry; UI placeholder,,"THE PUBLISH ACT CANNOT NAME ITS DRAFT FROM ANY SURFACE, AND C-44.4 / C-44.6 ARE RENDERED NOWHERE: UI-121's parts (1) (the publish act sends `draft=`) and (3) (the two refusals in their DEC-49 words, both cases named), split off because no s"
D-676,queued,M4,UI,product,,,drop,UI-only fix (app.html); the plane act already accepts empty occurrence,,"THE ON-POINT CHOOSER DOES NOT OFFER AN UNPLACED OCCURRENCE, THOUGH THE ACT NOW ACCEPTS IT: app.html sends `occurrence` only when it is truthy (`if(d.onpointOccurrence)`), so the '' key D-625 made choosable is never sent, and UI-112's commen"
D-694,queued,M4,RECORD,unclear,,,carry,capture,CSV profile-branch capture lacks container_extent (I5); sheet citation wrongly skipped,"A CSV CAPTURED THROUGH THE PROFILE-BRANCH PATH HOLDS NO SHEET LIST: that path carries no `container_extent`, so a sheet-range or sheet-cell citation naming a sheet the CSV lacks is SKIPPED as undetermined instead of refused, and a version n"
D-742,queued,M10,RECORD,unclear,,,carry,publication,"BOB #37 override from drop: count pre-D-720 acknowledgements bound to C1 on the live record, and re-key them if any (live data)","MEASURE, READ-ONLY: HOW MANY LIVE statement_acknowledgements WERE GIVEN ON A PAIR DRAFT (names C1 AND sets newCase) BEFORE D-720 and still sit at C1's key — C1's next signed edition would list them, a binding nobody made (Publication §3 rul"
D-737,queued,M0,RECORD,machinery,,,drop,old test battery control-driver header drift (casesign.control.mjs),,"`casesign.control.mjs`'s HEAD DECLARES ""five arms plus a baseline, and REC-130's four (e)-(h)""; the census (armdecay.mjs readDeclaredArms) reads 5 while the driver announces 10, so `m025-arm-census --only casesign.control.mjs` exits 1 (TALL"
D-735,queued,M0,M0,machinery,,,drop,old test battery: four control drivers decayed vs moved subjects,,"FOUR CONTROL DRIVERS HAVE DECAYED AGAINST MOVED SUBJECTS (identical at base 95fe7bc7), so their arms no longer break what they name: dec65-strength-reach arm 2 anchors on #strengthWalk's full signature (it gained captureBounds; throws mid-a"
D-736,queued,M0,M0,product,,,drop,old test battery: dec65-strength-reach.control arm declaration drift,,"`dec65-strength-reach.control` ARM (3) (scanner regex removed) MEASURES 26/1 AGAINST ITS DECLARED 22/5, on this base and origin/main: only the desync self-check fires; the closure floor, property-vocabulary floor, roster and sensitivity re-"
D-739,queued,M0,M0,machinery,,,drop,old test battery: control driver declares stale assertion names,,"A CONTROL DRIVER CAN DECLARE ASSERTION NAMES ITS SUITE NO LONGER DEFINES, SO ITS VERDICT IS VACUOUS AND NEITHER anchordrift NOR THE CENSUS SEES IT: nc-rec113's arms declared I2…I2f for months after D-500 (63aaf1b57b) renamed them L2…L2f, an"
D-740,queued,M0,M0,machinery,,,drop,old test battery/tools anchordrift: vacuous mustFail/mustPass needles,,"A CONTROL DRIVER'S DECLARED mustFail/mustPass NEEDLE CAN NAME NO ASSERTION OF ITS SUITE, AND NO INSTRUMENT SEES IT: the needle is vacuous both ways (never ""breaks"" while held open; never met when declared to fail). Reach measured: 178 of 31"
D-733,queued,M0,M0,machinery,,,drop,old test battery: caseflip.control arms untested by any fixture,,"NO BATTERY SUITE WRITES A ROSTER ROW WITH A NULL PIN (published_case_members.version_sha), so caseflip.control arm f stays green in caseflip, publishedcase, caseobject and casepin, and arm e in publishedcase and caseobject — arm e's label c"
D-653,queued,M0,M0,machinery,,,drop,old test battery: nc-rec97 anchor drift (tools/anchordrift.json),,"`nc-rec97` arm overstrict: ANCHOR DRIFT — matches 2, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver's "
D-654,queued,M0,M0,machinery,,,drop,old test battery: nc-rec99 anchor drift,,"`nc-rec99` arm 7: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver's subject o"
D-655,queued,M0,M0,machinery,,,drop,old test battery: rec168-capturerequest-principal.control anchor drift,,"`rec168-capturerequest-principal.control` arms drop-gate/gate-sessions-only/gate-credentials-only: ANCHOR DRIFT — match 2 each (D-666's driver; re-anchor on the union), so the arm does not break the subject it names and its NEGATIVE CONTROL"
D-656,queued,M0,M0,machinery,,,drop,old test battery: reviewcopy-inband.control anchor drift,,"`reviewcopy-inband.control` arm e: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the d"
D-657,queued,M0,M0,machinery,,,drop,old test battery: scheduler.control anchor drift,,"`scheduler.control` arm (6): ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the driver'"
D-658,queued,M0,M0,machinery,,,drop,old test battery: shadowed-refusals.control anchor drift,,"`shadowed-refusals.control` arm 7: ANCHOR DRIFT — matches 2, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the d"
D-659,queued,M0,M0,machinery,,,drop,old test battery: strandedwork.control anchor drift,,"`strandedwork.control` arm A7: ANCHOR DRIFT — matches 2, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the drive"
D-660,queued,M0,M0,machinery,,,drop,old test battery: strengthpair.control anchor drift,,"`strengthpair.control` arms 2, 2b: ANCHOR DRIFT — match 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the dri"
D-661,queued,M0,M0,machinery,,,drop,old test battery: versionstate.control anchor drift,,"`versionstate.control` arm 1a: ANCHOR DRIFT — matches 0, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by M0-197's anchor-drift reader (minted on land/worker/M0-197). — owner M0 (the drive"
D-743,queued,M0,M0,machinery,,,drop,old test battery: d479-bounds.control anchor drift (batch30 union),,"`d479-bounds.control` arms 1, 3, 4: ANCHOR DRIFT on the batch30 union — match 0 or 2 where the arm edits one site, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by CONDUCT #23's anchor-dri"
D-744,queued,M0,M0,machinery,,,drop,old test battery: d497-sight-index.control anchor drift (batch30 union),,"`d497-sight-index.control` arms 1, 3, 4: ANCHOR DRIFT on the batch30 union — match 0 or 2 where the arm edits one site, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by CONDUCT #23's ancho"
D-745,queued,M0,M0,machinery,,,drop,old test battery: d510-promoted-type.control anchor drift (batch30 union),,"`d510-promoted-type.control` arm envelope-type: ANCHOR DRIFT on the batch30 union — matches 0 or 2 where the arm edits one site, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by CONDUCT #2"
D-746,queued,M0,M0,machinery,,,drop,old test battery: nc-cpdf10 anchor drift (batch30 union),,"`nc-cpdf10` arm (g): ANCHOR DRIFT on the batch30 union — matches 0 or 2 where the arm edits one site, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by CONDUCT #23's anchor-drift read of th"
D-747,queued,M0,M0,machinery,,,drop,old test battery: anchor-drift/negative-control bookkeeping,"nc-cpdf19 control arm anchor-drift re-anchoring; tools/anchordrift.mjs and old bio-plane/test battery, both NOT PRODUCT.","`nc-cpdf19` arm candidate: ANCHOR DRIFT on the batch30 union — matches 0 or 2 where the arm edits one site, so the arm does not break the subject it names and its NEGATIVE CONTROL is not controlling. Found by CONDUCT #23's anchor-drift read"
